Device-name,Port-number,Slave-address,Polling-interval,Mapped-address,Merge-collection,,Node-name,Function-code,Register-Address,Data-type,Response-Timeout,Reporting-on-change,Variation-range,Mapped-address,Formula
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node00,4,0,uint16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node01,4,1,uint16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node02,4,2,uint16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node03,4,3,uint16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node04,4,4,uint16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node05,4,5,uint16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node06,4,6,uint16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node07,4,7,uint16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node08,4,8,uint16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node09,4,9,int16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node10,4,10,uint16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node11,4,11,int16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node12,4,12,uint16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node13,4,13,int16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node14,4,14,uint16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node15,4,15,uint16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node16,4,16,int16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node17,4,17,uint16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node18,4,18,uint16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node19,4,19,uint16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node20,4,20,uint16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node21,4,21,uint16,2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node81,4,81,uint32(ABCD),2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node83,4,83,uint32(ABCD),2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node85,4,85,uint32(ABCD),2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node87,4,87,uint32(ABCD),2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node89,4,89,uint32(ABCD),2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node91,4,91,uint32(ABCD),2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node93,4,93,uint32(ABCD),2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node95,4,95,uint32(ABCD),2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node97,4,97,uint32(ABCD),2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node99,4,99,uint32(ABCD),2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node101,4,101,uint32(ABCD),2000,OFF,,N/A,,
M2000,192.168.0.2:502,1,1000,N/A,OFF,,node102,4,102,uint32(ABCD),2000,OFF,,N/A,,
